description,code_b,code_c,description_d
Software Engineer,ENG001,TI-001,Senior Software Engineer
Data Scientist,ENG002,TI-002,Data Science Specialist
DevOps Engineer,ENG003,TI-003,Infrastructure & DevOps Engineer
Product Manager,MGT001,PM-001,Product Management Lead
UX Designer,DES001,UX-001,User Experience Designer
Financial Analyst,FIN001,FI-001,Senior Financial Analyst
Marketing Specialist,MKT001,MK-001,Digital Marketing Specialist
Human Resources,RH001,HR-001,HR Business Partner
Legal Counsel,JUR001,JR-001,Corporate Legal Counsel
Operations Manager,OPS001,OP-001,Operations & Logistics Manager
